Case number,Prompting technique,Model,Matched,Diff found,Well formed,Functionally equivalent,BLEU score
1,fscot,gpt-4o-mini,True,False,True,True,1.0
1,fscot,gpt-4o,True,False,True,True,1.0
1,fscot,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
1,fscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
1,fs,gpt-4o-mini,True,False,True,True,1.0
1,fs,gpt-4o,True,False,True,True,1.0
1,fs,llama-v3p2-11b-vision-instruct,True,True,True,False,0.5706745777055999
1,fs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
1,pc,gpt-4o-mini,True,False,True,True,1.0
1,pc,gpt-4o,True,False,True,True,1.0
1,pc,llama-v3p2-11b-vision-instruct,True,False,True,True,0.81903625881272
1,pc,llama-v3p2-90b-vision-instruct,True,False,True,True,0.81903625881272
1,zscot,gpt-4o-mini,True,True,True,False,0.6360188027707555
1,zscot,gpt-4o,True,False,True,True,1.0
1,zscot,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
1,zscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
1,zs,gpt-4o-mini,True,False,True,True,1.0
1,zs,gpt-4o,True,False,True,True,1.0
1,zs,llama-v3p2-11b-vision-instruct,True,False,True,True,0.81903625881272
1,zs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
10,fscot,gpt-4o-mini,True,True,True,False,0.7539221180326288
10,fscot,gpt-4o,True,True,True,False,0.758292326972591
10,fscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.784757484773875
10,fscot,llama-v3p2-90b-vision-instruct,True,True,True,False,0.7539221180326288
10,fs,gpt-4o-mini,True,True,True,False,0.7539221180326288
10,fs,gpt-4o,True,True,True,False,0.7539221180326288
10,fs,llama-v3p2-11b-vision-instruct,True,True,False,False,0.7254204378043243
10,fs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.7305160846304078
10,pc,gpt-4o-mini,True,True,True,False,0.702899258770329
10,pc,gpt-4o,True,True,True,False,0.6774288846573827
10,pc,llama-v3p2-11b-vision-instruct,True,True,False,False,0.3449529571604177
10,pc,llama-v3p2-90b-vision-instruct,True,True,True,False,0.702899258770329
10,zscot,gpt-4o-mini,True,True,True,False,0.758292326972591
10,zscot,gpt-4o,True,True,True,False,0.7305160846304078
10,zscot,llama-v3p2-11b-vision-instruct,True,True,False,False,0.5523722682139371
10,zscot,llama-v3p2-90b-vision-instruct,True,True,False,False,0.6728896917251863
10,zs,gpt-4o-mini,True,True,True,False,0.758292326972591
10,zs,gpt-4o,True,True,True,False,0.7206384826922908
10,zs,llama-v3p2-11b-vision-instruct,True,True,False,False,0.633228937255162
10,zs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.7206384826922908
2,fscot,gpt-4o-mini,True,False,True,True,1.0
2,fscot,gpt-4o,True,False,True,True,1.0
2,fscot,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
