,Included_Packets,Excluded_Packets,Node1,Filter1,Text1,Action1,Node2,Filter2,Text2,Action2
0,"srcIp: 0.0.0.0/0
dstIP: 172.27.8.55/32
","srcIp: 0.0.0.0/0
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [443,443]
TCP

srcIp: 0.0.0.0/0
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [80,80]
TCP

srcIp: 172.27.8.53/32
dstIP: 172.27.8.55/32
TCP

srcIp: 172.27.8.54/32
dstIP: 172.27.8.55/32
TCP

srcIp: 172.27.8.55/32
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [80,80]
TCP

",acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,permit ip any any,ACCEPT,acl_manual_9.txt,allow_web_server_block_tcp_servers,deny ip any host 172.27.8.55,REJECT
1,"srcIp: 0.0.0.0/0
dstIP: 172.27.8.53/32
TCP
","srcIp: 172.27.8.53/32
dstIP: 172.27.8.53/32
TCP

srcIp: 172.27.8.54/32
dstIP: 172.27.8.53/32
TCP

srcIp: 172.27.8.55/32
dstIP: 172.27.8.53/32
srcPort: [0,65535]
dstPort: [80,80]
TCP

",acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,permit ip any any,ACCEPT,acl_manual_9.txt,allow_web_server_block_tcp_servers,deny tcp any host 172.27.8.53,REJECT
2,"srcIp: 0.0.0.0/0
dstIP: 172.27.8.54/32
TCP
","srcIp: 172.27.8.53/32
dstIP: 172.27.8.54/32
TCP

srcIp: 172.27.8.54/32
dstIP: 172.27.8.54/32
TCP

srcIp: 172.27.8.55/32
dstIP: 172.27.8.54/32
srcPort: [0,65535]
dstPort: [80,80]
TCP

",acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,permit ip any any,ACCEPT,acl_manual_9.txt,allow_web_server_block_tcp_servers,deny tcp any host 172.27.8.54,REJECT
3,"srcIp: 172.27.8.55/32
dstIP: 172.27.8.53/32
srcPort: [0,65535]
dstPort: [80,80]
TCP
",,acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,permit tcp host 172.27.8.55 any eq www,ACCEPT,acl_manual_9.txt,allow_web_server_block_tcp_servers,deny tcp any host 172.27.8.53,REJECT
4,"srcIp: 172.27.8.55/32
dstIP: 172.27.8.54/32
srcPort: [0,65535]
dstPort: [80,80]
TCP
",,acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,permit tcp host 172.27.8.55 any eq www,ACCEPT,acl_manual_9.txt,allow_web_server_block_tcp_servers,deny tcp any host 172.27.8.54,REJECT
5,"srcIp: 172.27.8.53/32
dstIP: 0.0.0.0/0
TCP
","srcIp: 172.27.8.53/32
dstIP: 172.27.8.53/32
TCP

srcIp: 172.27.8.53/32
dstIP: 172.27.8.54/32
TCP

srcIp: 172.27.8.53/32
dstIP: 172.27.8.55/32
TCP

srcIp: 172.27.8.53/32
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [443,443]
TCP

srcIp: 172.27.8.53/32
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [80,80]
TCP

",acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,deny   tcp host 172.27.8.53 any,REJECT,acl_manual_9.txt,allow_web_server_block_tcp_servers,permit ip any any,ACCEPT
6,"srcIp: 172.27.8.53/32
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [443,443]
TCP
",,acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,deny   tcp host 172.27.8.53 any,REJECT,acl_manual_9.txt,allow_web_server_block_tcp_servers,permit tcp any host 172.27.8.55 eq 443,ACCEPT
7,"srcIp: 172.27.8.53/32
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [80,80]
TCP
",,acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,deny   tcp host 172.27.8.53 any,REJECT,acl_manual_9.txt,allow_web_server_block_tcp_servers,permit tcp any host 172.27.8.55 eq 80,ACCEPT
8,"srcIp: 172.27.8.54/32
dstIP: 0.0.0.0/0
TCP
","srcIp: 172.27.8.54/32
dstIP: 172.27.8.53/32
TCP

srcIp: 172.27.8.54/32
dstIP: 172.27.8.54/32
TCP

srcIp: 172.27.8.54/32
dstIP: 172.27.8.55/32
TCP

srcIp: 172.27.8.54/32
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [443,443]
TCP

srcIp: 172.27.8.54/32
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [80,80]
TCP

",acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,deny   tcp host 172.27.8.54 any,REJECT,acl_manual_9.txt,allow_web_server_block_tcp_servers,permit ip any any,ACCEPT
9,"srcIp: 172.27.8.54/32
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [443,443]
TCP
",,acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,deny   tcp host 172.27.8.54 any,REJECT,acl_manual_9.txt,allow_web_server_block_tcp_servers,permit tcp any host 172.27.8.55 eq 443,ACCEPT
10,"srcIp: 172.27.8.54/32
dstIP: 172.27.8.55/32
srcPort: [0,65535]
dstPort: [80,80]
TCP
",,acl_llm_9_zs_llama-v3p2-11b-vision-instruct.txt,allow_web_server_block_tcp_servers,deny   tcp host 172.27.8.54 any,REJECT,acl_manual_9.txt,allow_web_server_block_tcp_servers,permit tcp any host 172.27.8.55 eq 80,ACCEPT
